Year,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix),"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value,ICD10 Code_fat,ICD10 Diagnosis_fat,Diagnosis Type_fat,Metric_fat,Sex_fat,Value_fat,Method,Sex_smk,16 and Over,16-24,25-34,35-49,50-59,60 and Over
1974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,44.0,51.0,52.0,50.0,33.0
1974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,47.0,55.0,55.0,53.0,44.0
1974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,41.0,47.0,49.0,48.0,26.0
1976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,42.0,45.0,48.0,48.0,30.0
1976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,43.0,48.0,50.0,50.0,40.0
1976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,40.0,43.0,45.0,46.0,24.0
1978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,39.0,45.0,45.0,45.0,30.0
1978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,40.0,48.0,48.0,48.0,38.0
1978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,38.0,42.0,43.0,42.0,24.0
1980.0,,,,,,,,,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,39.0,37.0,46.0,44.0,45.0,29.0
1980.0,,,,,,,,,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,42.0,38.0,47.0,45.0,47.0,36.0
1980.0,,,,,,,,,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,37.0,36.0,44.0,43.0,44.0,24.0
1981.0,,,,,,,,,123.5,111.9,110.4,99.1,89.7,,,,,,,,,,,,,,,,,,,,,,,
1982.0,,,,,,,,,142.5,121.5,117.3,98.7,84.2,,,,,,,,,,,,,,,,,,35.0,35.0,38.0,39.0,41.0,27.0
1982.0,,,,,,,,,142.5,121.5,117.3,98.7,84.2,,,,,,,,,,,,,,,,,,38.0,36.0,40.0,40.0,42.0,33.0
1982.0,,,,,,,,,142.5,121.5,117.3,98.7,84.2,,,,,,,,,,,,,,,,,,33.0,35.0,37.0,38.0,40.0,23.0
1983.0,,,,,,,,,152.0,127.1,119.6,100.3,83.9,,,,,,,,,,,,,,,,,,,,,,,
1984.0,,,,,,,,,168.6,133.4,126.4,103.4,81.8,,,,,,,,,,,,,,,,,,34.0,35.0,38.0,37.0,39.0,26.0
1984.0,,,,,,,,,168.6,133.4,126.4,103.4,81.8,,,,,,,,,,,,,,,,,,36.0,35.0,40.0,39.0,39.0,30.0
1984.0,,,,,,,,,168.6,133.4,126.4,103.4,81.8,,,,,,,,,,,,,,,,,,32.0,34.0,36.0,36.0,39.0,23.0
1985.0,,,,,,,,,183.5,141.5,129.7,107.5,82.9,7006.0,214449.0,3.3,,,,,,,,,,,,,,,,,,,,
1986.0,,,,,,,,,201.6,146.3,137.8,111.6,81.0,7485.0,237015.0,3.2,,,,,,,,,,,,,,,33.0,35.0,36.0,36.0,35.0,25.0
1986.0,,,,,,,,,201.6,146.3,137.8,111.6,81.0,7485.0,237015.0,3.2,,,,,,,,,,,,,,,35.0,36.0,37.0,37.0,35.0,29.0
1986.0,,,,,,,,,201.6,146.3,137.8,111.6,81.0,7485.0,237015.0,3.2,,,,,,,,,,,,,,,31.0,35.0,35.0,34.0,35.0,22.0
1987.0,,,,,,,,,208.0,152.4,136.5,112.8,82.6,7665.0,260425.0,2.9,,,,,,,,,,,,,,,,,,,,
1988.0,,,,,,,,,214.9,159.9,134.4,118.8,88.4,7936.0,294521.0,2.7,,,,,,,,,,,,,,,32.0,33.0,36.0,36.0,33.0,23.0
1988.0,,,,,,,,,214.9,159.9,134.4,118.8,88.4,7936.0,294521.0,2.7,,,,,,,,,,,,,,,33.0,33.0,37.0,37.0,32.0,26.0
1988.0,,,,,,,,,214.9,159.9,134.4,118.8,88.4,7936.0,294521.0,2.7,,,,,,,,,,,,,,,30.0,33.0,35.0,35.0,34.0,21.0
1989.0,,,,,,,,,221.1,172.3,128.3,124.8,97.2,8170.0,322967.0,2.5,,,,,,,,,,,,,,,,,,,,
1990.0,,,,,,,,,236.1,188.6,125.1,129.5,103.5,8649.0,349982.0,2.5,,,,,,,,,,,,,,,30.0,35.0,35.0,33.0,29.0,21.0
1990.0,,,,,,,,,236.1,188.6,125.1,129.5,103.5,8649.0,349982.0,2.5,,,,,,,,,,,,,,,31.0,33.0,36.0,34.0,28.0,24.0
1990.0,,,,,,,,,236.1,188.6,125.1,129.5,103.5,8649.0,349982.0,2.5,,,,,,,,,,,,,,,29.0,36.0,34.0,33.0,29.0,20.0
1991.0,,,,,,,,,270.0,199.7,135.2,132.0,97.6,9648.0,374468.0,2.6,,,,,,,,,,,,,,,,,,,,
1992.0,,,,,,,,,299.7,207.2,144.6,135.9,93.9,10280.0,396519.0,2.6,,,,,,,,,,,,,,,28.0,33.0,34.0,31.0,29.0,20.0
1992.0,,,,,,,,,299.7,207.2,144.6,135.9,93.9,10280.0,396519.0,2.6,,,,,,,,,,,,,,,29.0,35.0,34.0,32.0,28.0,21.0
1992.0,,,,,,,,,299.7,207.2,144.6,135.9,93.9,10280.0,396519.0,2.6,,,,,,,,,,,,,,,28.0,32.0,34.0,30.0,29.0,19.0
1993.0,,,,,,,,,325.0,210.5,154.4,139.5,90.3,10759.0,420673.0,2.6,,,,,,,,,,,,,,,,,,,,
1994.0,,,,,,,,,349.6,215.6,162.2,142.1,87.6,10933.0,441911.0,2.5,,,,,,,,,,,,,,,27.0,34.0,32.0,30.0,27.0,17.0
1994.0,,,,,,,,,349.6,215.6,162.2,142.1,87.6,10933.0,441911.0,2.5,,,,,,,,,,,,,,,28.0,35.0,34.0,31.0,27.0,18.0
1994.0,,,,,,,,,349.6,215.6,162.2,142.1,87.6,10933.0,441911.0,2.5,,,,,,,,,,,,,,,26.0,34.0,30.0,28.0,26.0,17.0
1995.0,,,,,,,,,373.0,223.1,167.2,145.7,87.1,11519.0,465225.0,2.5,,,,,,,,,,,,,,,,,,,,
1996.0,,,,,,,,,398.0,228.4,174.2,150.0,86.1,12265.0,499354.0,2.5,,,,,,,,,,,,,,,28.0,35.0,36.0,30.0,27.0,18.0
1996.0,,,,,,,,,398.0,228.4,174.2,150.0,86.1,12265.0,499354.0,2.5,,,,,,,,,,,,,,,29.0,35.0,38.0,30.0,28.0,18.0
1996.0,,,,,,,,,398.0,228.4,174.2,150.0,86.1,12265.0,499354.0,2.5,,,,,,,,,,,,,,,28.0,34.0,34.0,30.0,26.0,19.0
1997.0,,,,,,,,,427.3,235.6,181.3,155.6,85.8,12696.0,534755.0,2.4,,,,,,,,,,,,,,,,,,,,
1998.0,,,,,,,,,464.1,243.7,190.4,158.8,83.4,13318.0,569829.0,2.3,,,,,,,,,,,,,,,27.0,36.0,35.0,30.0,27.0,16.0
1998.0,,,,,,,,,464.1,243.7,190.4,158.8,83.4,13318.0,569829.0,2.3,,,,,,,,,,,,,,,28.0,36.0,37.0,32.0,27.0,16.0
1998.0,,,,,,,,,464.1,243.7,190.4,158.8,83.4,13318.0,569829.0,2.3,,,,,,,,,,,,,,,26.0,35.0,33.0,28.0,27.0,16.0
1999.0,,,,,,,,,517.3,247.4,209.0,163.7,78.3,14047.0,602922.0,2.3,,,,,,,,,,,,,,,,,,,,
2000.0,,,,,,,,,562.0,254.8,220.6,173.3,78.5,14026.0,639405.0,2.2,,,,,,,,,,,,,,,27.0,32.0,35.0,29.0,27.0,16.0
2000.0,,,,,,,,,562.0,254.8,220.6,173.3,78.5,14026.0,639405.0,2.2,,,,,,,,,,,,,,,29.0,33.0,39.0,31.0,27.0,16.0
2000.0,,,,,,,,,562.0,254.8,220.6,173.3,78.5,14026.0,639405.0,2.2,,,,,,,,,,,,,,,25.0,32.0,32.0,27.0,28.0,15.0
2001.0,,,,,,,,,592.5,259.3,228.5,180.8,79.1,14339.0,665058.0,2.2,,,,,,,,,,,,,,,27.0,33.0,34.0,29.0,26.0,17.0
2001.0,,,,,,,,,592.5,259.3,228.5,180.8,79.1,14339.0,665058.0,2.2,,,,,,,,,,,,,,,28.0,33.0,38.0,31.0,26.0,16.0
2001.0,,,,,,,,,592.5,259.3,228.5,180.8,79.1,14339.0,665058.0,2.2,,,,,,,,,,,,,,,26.0,33.0,31.0,28.0,25.0,17.0
2002.0,,,,,,,,,610.4,263.6,231.6,184.4,79.6,14465.0,695912.0,2.1,,,,,,,,,,,,,,,26.0,32.0,34.0,28.0,26.0,15.0
2002.0,,,,,,,,,610.4,263.6,231.6,184.4,79.6,14465.0,695912.0,2.1,,,,,,,,,,,,,,,27.0,31.0,36.0,29.0,27.0,17.0
2002.0,,,,,,,,,610.4,263.6,231.6,184.4,79.6,14465.0,695912.0,2.1,,,,,,,,,,,,,,,25.0,34.0,33.0,27.0,24.0,14.0
2003.0,,,,,,,,,632.0,271.2,233.0,187.4,80.4,15223.0,731780.0,2.1,,,,,,,,,,,,,,,26.0,32.0,34.0,30.0,25.0,15.0
2003.0,,,,,,,,,632.0,271.2,233.0,187.4,80.4,15223.0,731780.0,2.1,,,,,,,,,,,,,,,28.0,33.0,38.0,32.0,26.0,16.0
2003.0,,,,,,,,,632.0,271.2,233.0,187.4,80.4,15223.0,731780.0,2.1,,,,,,,,,,,,,,,24.0,30.0,31.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,469186.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,469186.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,469186.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,289408.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,289408.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,289408.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,127787.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,127787.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,127787.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,64718.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,64718.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,64718.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,177334.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,177334.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,177334.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,23065.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,23065.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,23065.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,26392.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,26392.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,26392.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,1594.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,1594.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,1594.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,629.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,629.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,629.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,5888.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,5888.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,5888.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,845.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,845.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,845.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,4061.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,4061.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,4061.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,2901.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,2901.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,2901.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,4674.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,4674.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,4674.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,5875.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,5875.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,5875.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,10430.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,10430.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,10430.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,2071.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,2071.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,2071.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,1473.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,1473.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,1473.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,20180.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,20180.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,20180.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,28799.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,28799.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,28799.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,23223.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,23223.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,23223.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,86039.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,86039.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,86039.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,2826.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,2826.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,2826.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,49388.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,49388.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,49388.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,8070.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,8070.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,8070.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,746.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,746.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,746.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,3304.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,3304.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,3304.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,89500.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,89500.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,89500.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,37700.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,37700.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,37700.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,23100.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,23100.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,23100.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,26900.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,26900.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,26900.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,1800.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,1800.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,1800.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,22200.0,,,25.0,29.0,31.0,29.0,24.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,22200.0,,,26.0,30.0,35.0,31.0,26.0,15.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,22200.0,,,23.0,28.0,28.0,28.0,23.0,14.0
2004.0,,,,,,,,,654.6,279.3,234.4,188.7,80.5,15375.0,772164.0,2.0,,,,,,,,,,,,1100.0,,,25.0,29.0,31.0,29.0,24.0,14.0
